,has_issues,stargazers_count,forks,size,has_downloads,archived,has_projects,has_wiki,open_issues_count,has_pages
105,1,49141,0.5015194144945683,-0.3116260758611722,1,0,0,1,-0.4180004896969883,1
796,1,17364,-0.7349988747250018,-0.31642395744589624,1,0,0,0,-0.3720431800090937,0
988,1,15380,-0.6389238817248745,-0.3019185483952414,1,0,1,0,-0.3110794018516825,0
103,1,49507,-0.03119985703717234,-0.19255718428686455,1,0,0,1,-0.21259945252047976,0
851,1,16719,-0.5114423048060848,-0.027497284709902786,1,0,1,1,3.487432929494708,0
383,1,25249,-0.646344846701436,-0.3086589998950228,1,0,0,0,-0.3185826360864408,0
761,1,17880,0.13934982019201925,-0.21056986340333542,1,0,1,1,-0.17039375994996434,0
58,1,62220,-0.40370579541421786,-0.3114557683617699,1,0,1,1,-0.17695908990537784,0
902,1,16201,-0.6711255690338827,-0.3089942927844711,1,0,0,1,-0.3589125200982667,0
809,1,17172,-0.08539940481241659,-0.31672199556985026,1,0,1,1,-0.41049725546223,1
950,1,15697,-0.5828690927054898,1.1882614271561271,1,0,1,1,-0.11787112030665621,1
537,1,21453,-0.5962533331096455,-0.2790281560537017,1,0,0,1,-0.4180004896969883,0
335,1,27063,-0.4703619629715476,-0.31855546224310305,1,0,0,0,-0.3898633613166447,0
25,1,98906,1.7470488754713918,-0.30166840925549426,1,0,0,0,-0.2801285606333045,1
600,1,20372,-0.6269973308696862,-0.2767236827024144,1,0,0,0,-0.3542229987015427,0
540,1,21431,-0.14715243479594672,-0.2389899273660934,1,0,1,1,-0.41987629825567785,1
11,1,133090,2.410695171946754,-0.2894967451575865,1,0,1,1,-0.23792286806278906,0
420,1,24340,-0.2968969066444211,-0.23970042896516233,1,0,0,0,0.9044445441791625,0
438,1,23829,-0.6036742980862071,-0.2212566589908294,1,0,1,1,0.44580935157956125,0
201,1,35756,0.0949565475643742,-0.2570398612480585,1,0,1,0,-0.39173916987533425,1
679,1,19152,-0.6403815712738419,-0.30260776155688507,0,0,1,0,-0.3270237746005439,1
502,1,22313,-0.4628084807632617,-0.316684740804356,1,0,1,1,-0.23604705950409946,1
417,1,24406,-0.6283225031869294,-0.30718743665799986,1,0,1,1,-0.3504713815841636,0
377,0,25449,-0.17829398425116041,-0.24770222038239204,1,0,1,1,-0.22854382526934117,0
545,1,21300,-0.5531852327992436,-0.09855808883551037,1,0,0,0,-0.39736659555140297,0
658,1,19636,-0.23090332524571291,-0.3036775055375057,1,0,1,0,-0.4264416282110914,0
341,1,26811,0.0871380308926397,0.1787956571051615,1,0,0,0,0.8641146601673366,0
124,1,45314,0.306586566628103,-0.2857845738815521,1,0,0,1,-0.11974692886534578,1
106,1,49091,-0.1176010921214248,-0.3127064640605055,1,0,1,1,0.265731729945362,0
689,1,18938,-0.2629724953229968,-0.2891561301587819,1,0,1,1,0.03782099006457856,0
727,1,18309,4.006732710834387,-0.163714012630279,1,0,1,1,0.25353897431387973,0
673,1,19409,-0.6216966416007137,-0.31303643484059746,1,0,0,0,-0.4255037239317466,0
369,1,25828,-0.18399222521530592,-0.22681028010415114,1,0,1,1,-0.4264416282110914,0
837,1,16835,-0.5983736088172346,-0.31689230306925253,1,0,1,1,-0.42269001109371224,1
937,1,15862,-0.3279059388679105,-0.3158385254167008,1,0,1,1,-0.36735365861236974,0
361,1,26032,4.748299139563645,0.5639966270423367,1,0,1,1,-0.38142222280254157,0
204,1,35311,2.3330400741563064,-0.233441628362128,1,0,1,1,0.35108101936573766,0
801,1,17310,-0.657741328629727,-0.19345662076808293,1,0,1,1,-0.26324628360509833,1
122,1,45681,0.12318271792165299,-0.26596503863861,1,0,1,0,-0.29701083766151065,0
428,1,24164,-0.21367608512155215,-0.30815606056085043,1,0,1,0,-0.3514092858635084,0
830,1,16909,-0.6973639809152967,-0.26992468799971336,1,0,0,0,-0.1732074727879987,0
128,1,44395,-0.20956805093809844,-0.31868585392233295,1,0,1,1,-0.4011182126687821,0
610,1,20222,-0.4579053431894621,-0.27978921769165566,1,0,0,0,-0.3898633613166447,1
632,1,19981,-0.25488894418781366,-0.3171876801385284,1,0,1,1,-0.4217521068143675,0
947,1,15737,-0.21950684331742196,-0.3060724547478505,1,0,0,0,-0.4264416282110914,0
210,1,34896,0.21276436656728898,0.06465237774012961,0,1,1,1,0.10910171529478242,0
885,1,16330,-0.3973449682914508,-0.31849159693082724,1,0,1,1,-0.4011182126687821,0
683,1,19028,-0.7477205289705359,-0.3155617757301721,1,0,1,1,-0.39736659555140297,0
114,1,48085,0.9026490749240655,-0.09323331842451049,1,0,1,1,0.743125008131859,1
454,1,23551,-0.4780479624115578,-0.26524389282082844,1,0,1,0,-0.10661626895451876,0
83,1,54184,3.0939540187173153,0.12815578657976034,0,0,1,0,0.48801504415007674,0
800,1,17318,-0.5910851610723973,-0.3122594068745745,1,0,1,0,-0.0578452464285898,0
91,1,52056,-0.022321202511643327,-0.061604022519890514,1,0,1,0,0.16631387633481448,0
978,1,15484,-0.6760287066076822,-0.2990073545773334,1,0,1,1,-0.3945528827133686,1
898,1,16250,-0.7073027732946203,-0.3073816936495056,1,0,0,0,-0.38329803136123114,0
299,1,28963,0.09455899586920126,-0.3070863165802298,1,0,1,1,-0.4255037239317466,0
169,1,38792,0.6223751298271423,-0.2865669239569314,1,0,1,1,-0.2548051450909952,0
925,1,15933,-0.6232868483814055,-0.27862101468794304,1,1,0,1,-0.19853088833030796,0
793,0,17397,0.11019602921267026,0.02241877894303861,0,0,0,0,-0.361726232936301,0
242,1,31712,-0.1547059170042326,-0.31698011787363184,1,0,1,0,-0.41518677685895394,0
847,1,16755,-0.5751830932654797,-0.3159981886973905,1,0,1,1,-0.4245658196524018,1
529,1,21585,-0.47579516947224443,-0.26832805519281683,1,0,1,1,-0.4161246811382987,0
823,1,16972,-0.38290059003350063,-0.07413492899935001,1,0,1,1,0.7037330283993779,0
520,1,21713,-0.485336410156395,-0.3150215816305055,1,0,0,0,-0.42269001109371224,0
878,1,16405,-0.6540308461414462,-0.13147267414968203,1,0,1,1,0.2948067626050504,0
352,1,26349,0.036781482837400535,-0.17006595014704898,1,0,1,1,0.14474207790988436,0
422,1,24275,-0.47327734206948247,0.38961239187309926,1,0,0,1,0.2188365159781226,0
916,1,16067,-0.4414732064556472,-0.004205073111960785,1,0,1,1,1.1135971984730502,0
850,1,16721,-0.5617988528613239,-0.18790832176411754,0,0,1,1,-0.3410923387907157,0
256,1,31231,-0.3933694513397214,-0.31347018675313765,1,0,1,1,-0.38423593564057595,0
744,1,18084,-0.16954784695735572,-0.30829177434943666,1,0,1,1,-0.4264416282110914,0
829,1,16922,-0.6051319876351745,-0.13891564408449797,1,0,1,1,-0.008136319623316044,0
449,1,23662,0.07733175574504049,-0.30177751249729884,1,0,1,1,0.18319615336302067,0
864,1,16595,-0.3333391453686073,-0.2764495940705638,1,0,0,0,-0.2810664649126493,0
557,1,21012,0.04751537860706993,-0.0894998587110508,1,0,1,1,-0.3279616788798887,1
692,1,18842,-0.028416995170961752,-0.30183073359086204,1,0,1,1,-0.09629932188172609,0
887,0,16327,-0.38912889992454336,-0.25582109820546084,1,0,1,1,-0.379546414243852,1
838,1,16827,-0.42914910390528604,-0.3137442753849882,1,0,1,1,0.03125566010916504,0
183,1,37557,0.2865764646377317,-0.17133261217385354,1,0,0,0,-0.34203024307006047,0
329,1,27336,-0.21115825771879018,-0.27078154760608114,1,0,0,1,-0.4264416282110914,0
464,0,23208,-0.4931549268281295,-0.24392884484875993,1,0,1,0,-0.35797461581892187,0
298,1,29035,-0.03385020167165861,-0.0014828141762022267,1,0,1,1,-0.11036788607189792,0
507,1,22161,-0.23487884219744232,-0.3110699154334366,1,0,1,0,-0.149759865804379,1
589,1,20586,-0.6036742980862071,-0.047558975928557505,1,0,1,1,-0.1431945358489655,1
849,1,16727,-0.07612319859171465,-0.3048749801426781,1,0,1,1,-0.32983748743857827,0
416,1,24420,-0.4549899640915272,-0.31806848923699965,1,0,1,1,-0.41237306402091956,0
202,1,35693,-0.4393529307480582,-0.31670070713242493,1,0,1,1,-0.41424887257960913,0
649,1,19724,-0.3855509346679869,-0.3161818014701836,1,0,1,1,-0.11036788607189792,1
956,1,15659,-0.06936481977377465,-0.3057903829519654,1,0,1,0,-0.19946879260965275,0
414,1,24501,0.05294858510776679,0.37425278427075476,1,0,1,1,2.0965208832263875,0
509,1,22085,-0.26310501255472113,-0.04289946918709784,1,0,1,0,-0.3260858703211991,1
398,1,24903,-0.628189985955205,-0.30656208880863206,1,0,1,1,0.21977442025746738,0
27,1,95679,1.9672925145972011,1.644310316844657,1,0,1,1,1.2805441601964225,1
459,1,23435,-0.36686600499485866,-0.3178289943159652,1,0,1,1,-0.41987629825567785,0
163,1,39807,-0.4376302067356421,-0.001663765894317165,1,0,1,0,1.3771483009689356,0
346,1,26644,-0.02271875420681627,-0.15887887628006073,1,0,1,1,-0.3748568928471281,0
614,1,20175,0.009880484797364874,-0.31627493838391924,1,0,1,1,-0.4095593511828852,0
979,1,15478,0.20653605667624625,-0.3176240931057468,1,0,1,1,-0.38423593564057595,0
5,1,168954,3.719700386919524,0.12206197136677198,1,0,1,1,0.24978735719650058,1
432,1,24089,-0.5900250232186027,0.42233804230512145,1,0,0,0,-0.2829422734713389,1
576,1,20721,-0.08844730114207582,-0.14459433476769323,1,0,1,1,-0.379546414243852,0
357,1,26194,-0.36673348776313436,-0.23600688507187506,1,0,1,1,-0.0887960876469678,0
578,1,20693,-0.48798675479088127,-0.27451500731954087,1,0,0,0,-0.0343976394449701,0
550,1,21195,0.060767101779501294,6.668099477416473,1,0,1,1,-0.41987629825567785,1
191,1,36769,-0.20320722381533138,0.4945244725595911,1,0,1,0,0.04532422429933686,0
230,1,32792,-0.24455260011331723,-0.3000398437924598,1,0,1,1,-0.3345270088353022,0
511,1,22010,0.21965526261695328,-0.28229327014380506,1,0,1,1,-0.3476576687461292,0
79,1,54449,0.22402833126385563,-0.295907225877276,1,0,0,1,-0.4217521068143675,1
611,1,20220,-0.7145912210394575,-0.3013464216394368,1,0,1,1,-0.40205611694812693,1
441,1,23809,-0.23368618711192352,-0.2316188059075878,1,0,1,1,0.6605894315495177,0
16,0,118494,7.876235877184343,-0.31332116769116064,1,0,0,0,-0.17133166422930912,0
292,1,29261,-0.2872231487285462,-0.2690837947214145,1,0,0,0,-0.22854382526934117,0
23,1,104425,3.9701579548784767,-0.17522041305864655,1,0,1,1,-0.3729810842884385,0
187,1,37100,-0.22136208456156234,0.18856704988336817,1,0,0,1,0.28824143264963686,0
6,1,161792,1.9602691013158124,-0.31564959053455144,1,0,0,0,-0.3739189885677833,1
686,1,18970,-0.6096375735138012,-0.30668449732382747,1,0,1,0,-0.34671976446678443,0
78,1,54577,5.234902414455325,0.9978443375509705,1,0,0,1,1.494386335887034,0
553,1,21129,-0.6144081938558764,-0.3046381462763218,1,0,1,1,-0.07097590633941682,0
544,1,21304,-0.3124014227561658,-0.31759748255896514,1,0,1,1,-0.1797728027434122,1
349,1,26435,0.3414385985715975,-0.3169481852174939,1,0,1,0,-0.2510535279736161,0
303,1,28726,0.026445138762904073,-0.3133052013630917,1,0,1,1,-0.4245658196524018,0
314,1,28008,-0.3848883485093653,-0.1955535318544737,1,0,1,0,0.110977523853472,0
294,1,29197,0.10264254700438438,-0.2969955972406438,1,0,1,1,-0.3410923387907157,1
410,1,24560,0.0745488938788299,-0.26469039344777096,1,0,1,1,-0.3898633613166447,0
209,1,34988,0.28087822367358617,-0.012063167576569802,1,0,1,1,0.03969679862326813,1
517,1,21857,-0.23130087694088586,-0.13258499500515328,1,0,1,0,-0.05034201219383149,0
675,1,19252,0.3239463239839881,-0.3048137758850804,1,0,1,1,-0.4264416282110914,1
551,1,21183,-0.40609110558525546,0.1062872392346344,1,0,0,0,0.6108805047442439,0
518,1,21827,-0.5435114748833687,-0.10734755243747568,1,0,1,1,0.9410228110736092,1
740,1,18149,-0.2355414283560639,-0.22877946056599016,1,0,1,1,-0.35797461581892187,0
504,1,22242,-0.39230931348592685,-0.3054604121718735,1,0,1,1,0.3126269439126014,0
226,0,33008,1.8046938712714682,-0.31680182721019506,1,0,1,1,-0.0071984153439712565,0
60,1,60575,0.3238138067522638,-0.2773277421143569,1,0,1,0,-0.3936149784340238,0
317,1,27872,-0.39217679625420254,-0.06353328716155714,1,0,0,0,-0.3861117441992655,0
57,1,64565,0.32951204771640924,-0.29492263564635646,1,0,0,0,-0.4058077340655061,1
962,1,15626,-0.34314542051620656,-0.312549461834494,1,0,1,1,-0.3720431800090937,1
333,1,27119,-0.568159679984091,-0.3054870227186551,1,0,0,0,-0.2782527520746149,1
246,1,31568,-0.080496267238617,-0.31440155589049396,1,0,0,1,-0.06441057638400331,1
620,1,20150,-0.5943980918655051,-0.17801718152539361,1,0,1,1,0.43549240450676857,0
218,1,33807,-0.04829457992960879,-0.26015861733086304,1,0,1,1,-0.4039319255068165,0
39,1,76442,0.30526139431085986,-0.24506511519633462,1,0,1,1,-0.4245658196524018,0
140,1,42751,0.4508978319758805,-0.23712186698202445,1,0,1,1,-0.28200436919199406,1
758,1,17920,-0.5354279237481856,-0.3166235365467583,1,0,1,1,-0.32045844464513035,0
638,1,19846,-0.4801682381191468,-0.28083767323485104,1,0,0,0,-0.4264416282110914,1
524,1,21640,-0.41059669146388217,-0.3072433188062413,1,0,1,1,-0.27356323067789096,1
873,1,16491,-0.6258046757841674,-0.1889647604713474,1,0,1,1,0.7900202220990984,0
332,1,27121,-0.47393992822810405,-0.3036535560454023,1,0,1,1,-0.4161246811382987,1
513,1,21983,-0.2514434961629815,-0.12708193393071662,1,0,1,1,0.09128153398723146,0
633,1,19975,-0.3203524566596246,-0.2738124888845064,1,0,1,0,-0.37673270140581766,0
941,1,15810,-0.37335934934935006,-0.30188129362974714,1,0,1,1,-0.05503153359055543,0
882,1,16348,-0.20068939641256942,-0.1804999455401177,1,0,1,0,-0.3748568928471281,0
715,1,18473,0.1681060594761953,6.186759924066703,1,0,0,1,0.3492052108070481,1
424,1,24246,-0.2579368405174729,0.005914917829084962,1,0,1,0,1.3977821951145208,0
493,1,22561,-0.2894759416678595,-0.27651345938283967,1,0,1,0,-0.12443645026206973,0
452,1,23612,-0.15788633056561613,1.257081623242723,1,0,1,1,0.16631387633481448,1
843,1,16791,-0.5824715410103168,-0.318967925718218,1,0,0,1,-0.42081420253502266,1
462,1,23377,-0.18425725967875453,-0.3148007140922181,1,0,1,1,-0.2960729333821659,1
743,1,18098,-0.5615338183978753,-0.31846764743872374,1,0,1,1,-0.4170625854176435,0
394,1,24956,-0.5460293022861307,-0.31262131031080437,1,0,1,1,-0.4255037239317466,0
501,1,22343,-0.44306341323633897,-0.29197418706295425,1,0,1,1,-0.13756711017289674,0
289,1,29450,0.2441709504859513,-0.23161614485290966,1,0,0,1,-0.18821394125751528,1
285,1,29672,0.9349832794647981,-0.19065186913730137,1,0,1,1,-0.2707495178398566,1
797,1,17351,-0.655621052922138,-0.3177119079101261,1,0,0,1,-0.35234719014285315,0
220,1,33550,0.22840139991075797,-0.0718916599056604,1,0,1,1,2.1921871197195557,1
534,1,21481,-0.5307898206378345,-0.31754160041072377,1,0,1,1,-0.3570367115395771,0
627,1,20043,0.49211069104214206,0.0070644934500504524,1,0,1,1,1.1567407953229105,0
